tsId;databaseName;timeseriesUnit;raster
dwd_pollenflug_#Graeser#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Oberrhein_und_unteres_Neckartal#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Hohenlohe_mittlerer_Neckar_Oberschwaben#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Mittelgebirge_Baden-Wuerttemberg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Bayern_noerdl._der_Donau_ohne_Bayr._Wald_und_ohne_Mainfranken#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Allgaeu_Oberbayern_Bay._Wald#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Graeser#_#Donauniederungen#;AllergieDaten;STATUS;PT1D


dwd_pollenflug_#Roggen#_#Inseln_und_Marschen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Geest_Schleswig-Holstein_und_Hamburg#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mecklenburg-Vorpommern#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Westl._Niedersachsen_Bremen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#oestl._Niedersachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Rhein.-Westfael._Tiefland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Ostwestfalen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mittelgebirge_NRW#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Harz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Tiefland_Sachsen-Anhalt#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Brandenburg_und_Berlin#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Tiefland_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mittelgebirge_Thueringen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Tiefland_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mittelgebirge_Sachsen#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mittelgebirgsbereich_Rheinland-Pfalz#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Rhein_Pfalz_Nahe_und_Mosel#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Saarland#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Nordhessen_und_hess._Mittelgebirge#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Rhein-Main#;AllergieDaten;STATUS;PT1D
dwd_pollenflug_#Roggen#_#Mainfranken#;AllergieDaten;STATUS;PT1D
