tsId;databaseName;timeseriesUnit;raster
ia_volumenstrom;StiebelEltronHeatPumpCorrectedDatasTest;LITERPROMINUTE;PT15S
ia_anlagenfrost;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fek;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fek;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_raumfeuchte;StiebelEltronHeatPumpCorrectedDatasTest;PROZENT;PT15S
ia_taupunkttemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_quellentemperatur;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_quellendruck;StiebelEltronHeatPumpCorrectedDatasTest;BAR;PT15S
ia_isttemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_isttemperatur_fläche;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S
ia_solltemperatur_fläche;StiebelEltronHeatPumpCorrectedDatasTest;GRADCELCIUS;PT15S

da_heizkreis_1_pumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_heizen;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_verdichter;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_heizkreispumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_quellenpumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_pufferladepumpe;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_verdichterschuetz;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
da_reststillstand;StiebelEltronHeatPumpCorrectedDatasTest;MINUTEN;PT15S

ds_wpm_3i;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
ds_software;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_sg_ready;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
ds_hauptversionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_nebenversionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_revisionsnummer;StiebelEltronHeatPumpCorrectedDatasTest;VERSION;PT15S
ds_ok;StiebelEltronHeatPumpCorrectedDatasTest;STATUS;PT15S
