tsId;databaseName;timeseriesUnit;raster
ia_isttemperatur_fek;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_solltemperatur_fek;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_raumfeuchte;StiebelEltronHeatPumpCorrectedDatas;PROZENT;PT15S
ia_taupunkttemperatur;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_solltemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_quellentemperatur;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_quellendruck;StiebelEltronHeatPumpCorrectedDatas;BAR;PT15S
ia_isttemperatur_gebläse;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_isttemperatur_fläche;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S
ia_solltemperatur_fläche;StiebelEltronHeatPumpCorrectedDatas;GRADCELCIUS;PT15S

da_heizkreis_1_pumpe;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_heizen;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_verdichter;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_heizkreispumpe;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_quellenpumpe;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_pufferladepumpe;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_verdichterschuetz;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
da_reststillstand;StiebelEltronHeatPumpCorrectedDatas;MINUTEN;PT15S

ds_wpm_3i;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
ds_software;StiebelEltronHeatPumpCorrectedDatas;VERSION;PT15S
ds_sg_ready;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
ds_hauptversionsnummer;StiebelEltronHeatPumpCorrectedDatas;VERSION;PT15S
ds_nebenversionsnummer;StiebelEltronHeatPumpCorrectedDatas;VERSION;PT15S
ds_revisionsnummer;StiebelEltronHeatPumpCorrectedDatas;VERSION;PT15S
ds_ok;StiebelEltronHeatPumpCorrectedDatas;STATUS;PT15S
